id;unit_name;short_name;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;Automotive;complexity Berkshire Fish;lavender Fantastic Salad;ivory Steel;2022-03-03T05:18:21;Home Web Netherlands;false;false
2;system deg;hacking gold programming;overriding;purple;2022-03-02T23:46:44;Lakes one-to-one Generic;true;true
3;Generic Gloves International;24/7 revolutionize users;Dynamic Dynamic applications;Generic;2022-03-02T16:45:50;Buckinghamshire leading-edge Bedfordshire;false;true
4;Court Trail;maroon analyzer Valley;Frozen eyeballs;Solutions Chicken;2022-03-03T03:20:12;Solutions Refined Oklahoma;false;true
5;compress Cheese Checking;Tools Health;override Pines Cambridgeshire;Iowa;2022-03-03T01:13:10;Plastic Crest Forward;true;false
6;Small architecture group;Intelligent Administrator;synthesize;invoice Rubber Pizza;2022-03-02T12:30:32;Jewelery Borders Account;true;false
7;maximize;Licensed Colorado;RAM;Cameroon real-time;2022-03-02T21:16:36;JBOD;true;true
8;Dollar Chief;Burundi Licensed SQL;Berkshire program Gloves;Planner;2022-03-02T21:12:04;Cross-group indigo;false;false
9;Networked;Investment technologies;Object-based e-tailers revolutionize;Towels structure;2022-03-03T06:21:21;asymmetric;true;false
10;Fully-configurable deposit interactive;invoice De-engineered platforms;copying;Mouse Rustic Refined;2022-03-02T12:23:31;Walks JBOD;false;false
