id;total_po_amount;total_gst_amount;expected_delivery_date;po_date;order_status;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;20270;66341;2022-03-02T12:37:55;2022-03-02T21:56:54;COMPLETED;2022-03-02T18:59:42;Directives reciprocal Soft;Security Baby;parsing Tools;HDD;neural Sheqel
2;12245;94032;2022-03-02T21:49:30;2022-03-03T02:02:33;COMPLETED;2022-03-03T10:10:19;HTTP digital;deposit Tools;matrix Implementation;Legacy tangible;up copying
3;12735;50464;2022-03-02T12:24:18;2022-03-03T07:22:23;APPROVED;2022-03-03T00:31:41;Dakota Berkshire Pennsylvania;Vision-oriented;transition Ford;Industrial;methodologies
4;91689;54025;2022-03-02T23:45:49;2022-03-02T16:05:32;REQUESTED;2022-03-02T21:10:53;Manager solid Markets;Configuration;indexing Ethiopian Legacy;redefine bricks-and-clicks;Generic Skyway
5;96867;61543;2022-03-03T08:43:12;2022-03-02T21:06:58;RECEIVED;2022-03-02T15:20:35;ivory bypass;Triple-buffered Lithuania;Iranian Chief;copying Handmade;maximize turquoise
6;30870;16055;2022-03-02T18:47:05;2022-03-02T15:17:12;CANCELED;2022-03-02T13:18:17;protocol;methodologies;holistic Credit Horizontal;metrics index;Darussalam ivory compressing
7;50155;22180;2022-03-02T13:41:24;2022-03-03T04:47:57;APPROVED;2022-03-02T21:27:00;THX Pizza;Refined Group;Awesome application Wooden;Developer;executive Money
8;71951;45161;2022-03-02T19:10:26;2022-03-03T05:56:08;REQUESTED;2022-03-02T21:06:49;infrastructure;tan;Avon background transmitting;Awesome feed Squares;Granite Executive
9;21161;96572;2022-03-03T10:10:40;2022-03-03T02:37:21;RECEIVED;2022-03-02T22:19:35;Locks hour Ohio;implementation Mountain;Account;Personal invoice payment;bandwidth
10;74287;98491;2022-03-03T06:33:53;2022-03-03T07:02:00;RECEIVED;2022-03-02T17:18:04;Robust Sports Concrete;Toys models implementation;JBOD Books;real-time invoice parse;Niger District
